"category","category_name","description"
"IAB20-10","Canada","Content regarding travel to Canada. Highly relevant to the Indian diaspora, covering outbound travel to Toronto, Vancouver, and Calgary, primarily driven by international students, permanent residents (Express Entry), family visitations, and tourism to Banff or Niagara Falls."
"IAB20-11","Caribbean","Information on tourism to the Caribbean islands. A niche luxury and cruise destination for affluent Indians, occasionally tied to honeymoon packages in the Bahamas or Jamaica, and historically connected via the diaspora in Trinidad and Tobago."
"IAB20-12","Cruises","Content focused on passenger shipping and ocean voyages. Covers the rapidly expanding Indian cruise tourism sector, featuring domestic coastal cruises (Cordelia Cruises) from Mumbai to Goa/Lakshadweep, as well as outbound international bookings for Royal Caribbean in Southeast Asia."
"IAB20-13","Eastern Europe","Information on travel to Eastern European nations. A highly popular budget-friendly international sector for Indian tourists and Bollywood film shoots, covering visa-friendly destinations like Azerbaijan (Baku), Georgia, Hungary (Budapest), and the Czech Republic (Prague)."
"IAB20-14","Europe","Content regarding European tourism. Covers the massive Indian outbound tourist demand for the Schengen Visa zone, classic multi-country coach tours (Thomas Cook, SOTC), visiting the Swiss Alps (heavily romanticized by Bollywood), Paris, and the Italian Riviera."
"IAB20-15","France","Information on tourism to France. Focuses on Indian travelers visiting the Eiffel Tower, the Louvre in Paris, exploring the French Riviera (Nice, Cannes), applying for French Schengen visas via VFS Global, and experiencing French gastronomy and fashion."
"IAB20-16","Greece","Content regarding travel to the Hellenic Republic. A highly sought-after premium honeymoon destination for affluent Indians, focusing on Santorini sunsets, Mykonos beach clubs, historic Athens architecture, and Mediterranean luxury resorts."
"IAB20-17","Honeymoons/Getaways","Information on romantic post-wedding holidays. A massive industry in India, covering domestic luxury retreats (Udaipur palaces, Kerala houseboats, Andaman beaches) and popular international visa-on-arrival/e-visa destinations for Indian newlyweds (Maldives, Bali, Dubai, Thailand)."
"IAB20-18","Hotels","Content focused on commercial lodging and hospitality. Covers the vast Indian hotel ecosystem ranging from heritage luxury palace hotels (Taj Lake Palace, Oberoi Udaivilas) to standard corporate lodging, budget aggregators (OYO, FabHotels), and online booking platforms (Agoda, Goibibo)."
"IAB20-19","Italy","Information on tourism to the Italian Republic. Highly popular among Indian tourists for its cultural heritage, cuisine, and luxury shopping. Covers visits to Rome (Colosseum), Venice (gondola rides), Milan, and elite destination weddings (such as those in Lake Como or Tuscany)."
"IAB20-20","Japan","Content regarding travel to Japan. An emerging premium destination for Indian tourists, covering the Tokyo metropolis, Kyoto's temples, experiencing the Shinkansen (bullet trains), Cherry Blossom (Sakura) season, and navigating the simplified e-visa process for Indian passport holders."
"IAB20-21","Mexico & Central America","Information on tourism to Central American regions. A niche, long-haul travel sector for Indians, mostly catering to affluent tourists, covering Cancun resorts, Mayan ruins, and managing the complex travel logistics that often require US transit visas."
"IAB20-22","National Parks","Content focused on protected wildlife reserves and eco-tourism. Deeply relevant in India, covering tiger safaris (Jim Corbett, Ranthambore, Bandhavgarh, Kanha), one-horned rhino spotting in Kaziranga, booking forest department Gypsy safaris, and eco-conservation guidelines."
"IAB20-23","South America","Information on travel to the South American continent. A long-haul, exotic bucket-list destination for elite Indian travelers, covering the Amazon rainforest, Machu Picchu (Peru), Rio de Janeiro (Brazil), and navigating the extensive visa and flight logistics required from India."
"IAB20-24","Spas","Content regarding wellness retreats and therapeutic resorts. Covers India's massive wellness tourism industry, focusing on Ayurvedic Panchakarma retreats in Kerala (Kumarakom), luxury Himalayan spa resorts (Ananda in the Himalayas), holistic rejuvenation, and premium metropolitan day spas."
"IAB20-25","Theme Parks","Information on amusement parks and entertainment resorts. Covers domestic Indian amusement parks (Wonderla, Imagicaa, EsselWorld, Ramoji Film City) as well as outbound family travel to global attractions like Disneyland, Universal Studios Singapore, or Ferrari World in Abu Dhabi."
"IAB20-26","Traveling with Kids","Guidance on family tourism and navigating logistics with infants or toddlers. Covers family-friendly domestic resorts featuring kids' play zones, managing baby food and sanitation on IRCTC train journeys, pediatric packing lists, and finding hygienic destinations across India."
"IAB20-27","United Kingdom","Content regarding tourism to Great Britain and Northern Ireland. Extremely popular for Indian tourists due to historical ties and language familiarity, covering London sightseeing, standard UK visitor visa applications, visiting NRI relatives, and university tours in England and Scotland."
"IAB21","Real Estate","Comprehensive coverage of the Indian property market, land acquisition, and commercial/residential development. Covers major real estate developers (Godrej Properties, DLF, Lodha, Prestige), regulatory compliance under RERA (Real Estate Regulatory Authority), PropTech platforms (MagicBricks, 99acres, NoBroker), commercial leasing in IT parks, property tax, circle rates, and Real Estate Investment Trusts (REITs)."
"IAB21-1","Apartments","Information concerning multi-family housing, flats, and urban residential complexes. Highly relevant in Indian metropolitan areas, covering standard 2BHK and 3BHK configurations, gated communities, high-rise luxury condos, Resident Welfare Associations (RWA), monthly maintenance charges, independent builder floors (prevalent in Delhi NCR), and modern amenities like clubhouses and power backup."
"IAB21-2","Architects","Content focused on building design, structural engineering, and spatial planning. Covers Indian architectural firms, urban planning, civil engineering contractors (thekedars), integrating traditional Vastu Shastra principles into modern floor plans, sustainable green building designs (IGBC certification), and interior design maximizing space in compact urban homes."
"IAB21-3","Buying/Selling Homes","Information on property transactions, conveyancing, and housing finance. Covers the end-to-end Indian home buying journey, including securing home loans (HDFC, SBI), understanding EMIs and down payments, negotiating with local property brokers/dealers, paying stamp duty and registration fees, navigating resale properties versus under-construction projects, and verifying title deeds."
"IAB22","Shopping","Comprehensive content concerning retail commerce, consumer purchasing, and the massive Indian e-commerce ecosystem. Covers mega online sales (Flipkart Big Billion Days, Amazon Great Indian Festival), the booming Q-commerce/quick-delivery platforms (Zepto, Blinkit, Swiggy Instamart), the government-backed ONDC network, burgeoning D2C (Direct-to-Consumer) brands, massive brick-and-mortar retail chains (DMart, Reliance Retail, Croma), and the ubiquitous adoption of UPI payments."
"IAB22-1","Contests & Freebies","Information regarding promotional giveaways, sweepstakes, and consumer rewards. Covers the highly engaged Indian market for social media influencer giveaways, festive brand contests, app-based gamification ('spin the wheel' for discount codes), free product sampling platforms (like Smytten), and digital wallet cashbacks (Google Pay/Paytm scratch cards)."
"IAB22-2","Couponing","Content focused on discount codes, vouchers, and promotional savings. Deeply relevant to the value-conscious Indian consumer, covering cashback aggregators (CashKaro, CouponDunia), instant bank discounts on credit/debit cards (HDFC, SBI, ICICI) during festive sales, omnichannel loyalty programs (Flipkart SuperCoins, Tata Neu coins, PAYBACK), and corporate digital vouchers (Sodexo/Pluxee)."
"IAB22-3","Comparison Engines","Information regarding price discovery and product specification comparison. Highly utilized by Indian consumers prior to tech and electronics purchases, covering popular aggregator platforms (Smartprix, 91mobiles, MySmartPrice) to compare smartphone specifications, browser extensions tracking historical price drops (BuyHatke, Keepa), and finding the lowest price across Amazon, Flipkart, and independent D2C websites."
"IAB23","Religion & Spirituality","Comprehensive content regarding faith, theology, devotional practices, and spiritual philosophy. In India, this encompasses a highly diverse ecosystem of beliefs, pilgrimage tourism (Char Dham, Hajj, Ajmer Sharif, Golden Temple), the Bhakti and Sufi movements, ashrams, meditation centers, and the integration of religious festivals (Diwali, Eid, Christmas) into the socio-cultural fabric."
"IAB23-1","Alternative Religions","Information on minority faiths, new religious movements, and indigenous belief systems. In the Indian context, this encompasses the massive cultural significance of Sikhism (Gurudwaras, Langar), Jainism (Ahimsa, Digambara/Svetambara), Zoroastrianism (Parsi Agiaries), Bahá'í Faith (Lotus Temple), neo-spiritual movements (Brahma Kumaris, Osho), and tribal animism (Sarnaism)."
"IAB23-2","Atheism/Agnosticism","Content focused on rationalism, secular humanism, and the absence of theistic belief. Covers the historical roots of Indian materialism (Carvaka philosophy), the Dravidian rationalist movement (Periyar), modern urban skepticism, scientific temper campaigns by organizations like Maharashtra Andhashraddha Nirmoolan Samiti, and navigating secular life in a deeply religious society."
"IAB23-3","Buddhism","Information regarding the teachings of Siddhartha Gautama and Buddhist philosophy. Highly significant in India as its birthplace, covering major pilgrimage sites (Bodh Gaya, Sarnath), Vipassana meditation centers, Tibetan Buddhism in Dharamshala (the Dalai Lama), and the Navayana (Neo-Buddhist) Dalit movement initiated by Dr. B.R. Ambedkar."
"IAB23-4","Catholicism","Content concerning the Roman Catholic Church and its followers. Covers the deep historical roots of Catholicism in India, particularly in Goa (Basilica of Bom Jesus, St. Francis Xavier), the Syrian Catholic communities of Kerala, Marian devotions (Velankanni Church), attending Mass, and the legacy of Catholic missionary schools and hospitals across the subcontinent."
"IAB23-5","Christianity","Broad coverage of Christian denominations excluding Catholicism. Covers Protestantism, the deeply rooted St. Thomas Christian heritage in Kerala, the Church of North India (CNI) and Church of South India (CSI), the Baptist and Presbyterian majorities in Northeast Indian states (Nagaland, Mizoram), and major celebrations like Christmas and Easter."
"IAB23-6","Hinduism","Information on Sanatana Dharma, the majority religion of India. Covers Vedic philosophy, the Upanishads, Bhagavad Gita, major sects (Vaishnavism, Shaivism, Shaktism), temple architecture (Mandirs), rituals (Puja, Aarti, Havan), festivals (Holi, Navratri, Maha Shivaratri), the caste system discourse, and the Kumbh Mela."
"IAB23-7","Islam","Content regarding the Islamic faith, teachings of the Quran, and the Muslim community in India. Covers Sunni and Shia denominations, daily prayers (Namaz/Salah), mosques (Masjids), fasting during Ramadan, Eid-ul-Fitr, Eid-ul-Adha, the Hajj pilgrimage, Halal dietary laws, Waqf boards, and the syncretic Indian Sufi tradition (Dargahs)."
"IAB23-8","Judaism","Information on the Jewish faith and its diaspora. Covers the rich, peaceful historical heritage of Jews in India, including the Bene Israel of Maharashtra, the Cochin Jews of Kerala, and the Baghdadi Jews. Also covers modern synagogues, heritage conservation, and Chabad Houses catering to Israeli tourists in places like Goa and Pushkar."
"IAB23-9","Latter-Day Saints","Content concerning Mormonism and the Church of Jesus Christ of Latter-day Saints. A highly niche demographic in India, covering small urban congregations (branches and districts) in metropolitan cities like New Delhi, Bengaluru, and Hyderabad, missionary translation work, and community service initiatives."
"IAB23-10","Pagan/Wiccan","Information on modern paganism, Wicca, and esoteric earth-based spirituality. While historically Western, this maps to the rising urban Indian new-age spiritual community practicing tarot card reading, crystal healing, astrology overlap, and esoteric rituals often blending with traditional Indian occult or Tantric practices."
"IAB24","Uncategorized","Content that lacks a definitive thematic classification within the standard taxonomy. In the Indian digital ecosystem, this includes unstructured data, mixed-niche personal blogs, undefined mobile app traffic, obscure regional domains (.in/.co.in) awaiting categorization, and generic web browsing that does not trigger specific behavioral or contextual advertising tags."
"IAB25","Non-Standard Content","Broad category encompassing brand-unsafe, controversial, or unregulated digital environments. In India, digital advertisers actively block this tier to ensure strict brand safety compliance, avoiding any association with unmoderated user forums, explicit adult material, toxic online behavior, and deceptive or low-quality traffic sources."
"IAB25-1","Unmoderated UGC","User-Generated Content lacking editorial oversight or strict community guidelines. In the Indian context, this heavily includes unmonitored WhatsApp forward chains, unregulated Telegram broadcast groups, anonymous public forums, aggressive political comment sections, and unverified citizen journalism that pose severe brand safety risks."
"IAB25-2","Extreme Graphic/Explicit Violence","Content depicting severe bodily harm, gore, or brutal imagery. Highly restricted for Indian advertisers, encompassing unblurred footage of fatal road accidents, communal riot violence, graphic CCTV footage of crimes, and visceral depictions of physical abuse circulated on unmoderated social platforms."
"IAB25-3","Pornography","Sexually explicit material, adult entertainment, and NSFW (Not Safe For Work) content. This violates standard advertising policies and falls under obscenity regulations within India's Information Technology (IT) Act, 2000, including banned adult websites, illicit video streaming, and explicit adult dating platforms."
"IAB25-4","Profane Content","Digital content featuring severe vulgarity, expletives, and foul language. Includes unfiltered internet roast comedy, regional Indian slangs and swear words (gaaliyan), crude humor, and aggressive online trolling or cyberbullying that violates standard community and brand-safety guidelines."
"IAB25-5","Hate Content","Material promoting discrimination, hostility, or violence against specific communities or groups. Highly sensitive in India, covering communal hate speech, religious extremism, caste-based slurs, xenophobia, targeted online harassment, and political polarization aimed at inciting public disharmony."
"IAB25-6","Under Construction","Placeholder webpages, parked domains, and incomplete digital properties. Includes newly registered Indian domains (.in/.bharat) lacking active editorial content, domain-squatting pages, and sites displaying generic 'coming soon' or error messages yielding zero contextual advertising value."
"IAB25-7","Incentivized","Content designed to artificially inflate digital engagement, impressions, or traffic. Covers Indian click-farms, 'earn Paytm cash' schemes, paid survey sites, deceptive Multi-Level Marketing (MLM) funnels, WhatsApp referral link spam, and low-quality platforms paying users to view ads or download apps."
"IAB26","Illegal Content","Broad category encompassing digital activity that directly violates national laws and jurisdiction. In India, this involves breaching the Indian Penal Code (IPC) or the IT Act, covering severe cybercrime, the sale of contraband, financial frauds, dark-web marketplaces, and intellectual property theft."
"IAB26-1","Illegal Content","Specific digital operations facilitating unlawful acts. Includes the online sale of illicit narcotics (violating the NDPS Act), unauthorized firearms, illicit wildlife trade, human trafficking networks, and unregulated offshore betting or gambling apps (like unauthorized Satta Matka or illegal casino platforms)."
"IAB26-2","Warez","Platforms distributing pirated, cracked, or unauthorized software. A massive issue in the Indian digital grey market, encompassing cracked Android APK downloads, bypassed premium SaaS tools, illegal PC game license keys, keygens, and unlicensed operating system distributions."
"IAB26-3","Spyware/Malware","Malicious code and cyber threats designed to compromise user security and steal data. Highly prevalent in Indian cyber fraud, covering banking trojans, deceptive KYC update phishing links (such as fake SBI/HDFC bank SMS alerts), ransomware, spyware hidden in fake utility apps, and credential-harvesting websites."
"IAB26-4","Copyright Infringement","The unauthorized distribution of copyrighted media and intellectual property. Heavily monitored in India, covering movie piracy networks (like TamilRockers), illegal Telegram channels leaking Bollywood/Tollywood films, unauthorized live streams of IPL cricket matches, and pirated educational study materials."
